"name","title","params_text"
Procurement,CDW KPI Scorecard ,<p>CDW KPI Scorecard<\/p>
Procurement,CDW Score (CDW Daily Monitor Report),<p>The purpose of this report is to control the inventory and keep all buyers posted on inventory balanc<\/p>
Procurement,Constraint Product,Vendor unable to ship out the product due to special reason. The lead time for constraint products ar
Procurement,Cost Adj,"Cost Adjustment include freight in, freight out, write up, other variance and some special rebate."
Procurement,Cust PO#,CUST PO#
Procurement,CWS,CIS Warehouse System
Procurement,Dell weekly Monitor report,Description is as above.
Procurement,Dell DNR File,Description is the same as above.
Procurement,Drop Ship PO,<p>Drop Ship PO is an order which vendor ships products to the customer directly.<\/p>
Procurement,Drop Ship PO Receiving,"<p>For drop ship POs, products do not receive in SYNNEX warehouse, BUYER need to do virtual receiving after vendor shipped out.<\/p>"
Procurement,DSI,DSI--Days of Sales Inventory
Procurement,Econ Qty,<p><span style=\
Procurement,EOL Part,EOL Part - End of Life Part
Procurement,ETA,<p>Estimated Time of Arrival. Usually such information is provided by vendor or calculated from ship date.<\/p>
Procurement,ETA code,<p>The Estimated Time of Arrival (ETA) is a measure of when a shipment is expected to arrive at a certain place.<\/p>
Procurement,Front End Price,- Front end Price = Synnex Base Cost \u2013 Front end Rebate. Front end rebate means vendor pay for it whe
Procurement,FX,FX is Foreign Exchange.
Procurement,Inventory Type,<p>Inventory type is a type that we use to categorize inventories.<\/p>
Procurement,Kit Sku,"A Kit SKU is a group of sub-SKUs sold together in one separate SKU. Every time a kit is built, the qu"
Procurement,Launch Date,The date that the product will start shipping from the vendor and becomes officially launched.
Procurement,Lead-Time ,"<p>Commerce the time from the placing of an order to the delivery of the goods, Purchasing needs to know and update the lead time for each part in order to control and keep our inventory level (Product Profile Maintenance )<\/p>"
Procurement,Limited Stock,"<p>When setting up a part number in SYNNEX system, we can set up as \u201cLimited Stock\u201d and indicate the specific location numbers in the field of \u201cSource Status\u201d.&nbsp; Then, the part can only be purchased in the specific locations as we settled in the system.<\/p>"
Procurement,Location,The location is a place where could store goods and merchandise up.
Procurement,Marketing Comments,"Marketing Comments is a special note for a SKU, such as product attribute."
Procurement,Min Qty,<p>Description:A minimum qty is the minimum order size accepted by a supplier.<\/p>
Procurement,MSO Queue Back,"<p>Once drop ship PO is rejected by vendor or not qualified for relevant placing PO rules, BUYERS need to queue back to sales to make necessary change.<\/p>"
Procurement,OnHand,OnHand
Procurement,OnOrder,OnOrder
Procurement,Part ABC Code,<p>A code that identifies part category.<\/p>
Procurement,Part Active Status,The code that identifies part active status. A \u2013 Active: Active products I-Inactive: future is no lon
Procurement,Part ADS Group,Part ADS group is the Recycle Rate ($) for the Electronic part with screen.
Procurement,Part Long Description,The complete description of products Synnex bring in from vendor. The information of Long Description
Procurement,Part Portal,<p>Part Portal<\/p>
